id,chain,subtype,host,location,year,Continent
4dj6,A,H7N7,,Netherlands,2003,* Not found *
4dj7,A,H7N7,,Netherlands,2003,* Not found *
4bsi,A,H7N3,avian,Italy,2002,Europe
4bsh,A,H7N3,avian,Italy,2002,Europe
4o58,A,H3N2,,Victoria,1975,Oceania
4bsf,A,H7N9,,Hangzhou,2013,Asia
4dj8,A,H7N7,,Netherlands,2003,* Not found *
4bsd,A,H7N9,,Hangzhou,2013,Asia
4bsc,A,H7N9,,Hangzhou,2013,Asia
4uo2,A,H3N8,equine,Richmond,2007,Oceania
4bsa,A,H7N9,,Hangzhou,2013,Asia
2wr7,A,H2N2,,Singapore,1957,Asia
3vun,A,H3N2,,Aichi,1968,Asia
4uo3,A,H3N8,equine,Richmond,2007,Oceania
4i78,A,H17N10,bat,Guatemala,2010,North America
3eyk,A,H14N6,avian,Astrakhan,1982,* Not found *
4uo4,A,H3N8,canine,Colorado,2006,* Not found *
4k67,A,H5N1,,Indonesia,2005,Asia
4py8,A,H1N1,,BrevigMission,1918,* Not found *
4nm8,A,H3N2,,HongKong,1968,Asia
4k63,A,H5N1,,Indonesia,2005,Asia
4k62,A,H5N1,,Indonesia,2005,Asia
4bsg,A,H7N3,avian,Italy,2002,Europe
3ku5,A,H2N2,,Japan,1957,Asia
3ku6,A,H2N2,,Japan,1957,Asia
4bse,A,H7N9,,Hangzhou,2013,Asia
3ku3,A,H2N2,,Japan,1957,Asia
4fp8,A,H3N2,,HongKong,1968,Asia
4jug,A,H1N1,,BrevigMission,1918,* Not found *
4fqv,A,H7N7,,Netherlands,2003,* Not found *
4o5i,A,H3N2,,Singapore,2011,Asia
4juk,A,H5N1,avian,HongKong,2007,Asia
4juj,A,H1N1,,BrevigMission,1918,* Not found *
4jum,A,H5N1,avian,Guiyang,2006,Asia
4jul,A,H5N1,avian,Laos,2006,* Not found *
4o5n,A,H3N2,,Singapore,2011,Asia
4jun,A,H5N1,avian,Guangxi,2004,Asia
1ken,A,H3N2,,Aichi,1968,Asia
4gxu,A,H1N1,,BrevigMission,1918,* Not found *
4bh2,A,H5N1,,VietNam,2004,Asia
4uo9,A,H3N8,canine,Colorado,2006,* Not found *
4bh0,A,H5N1,avian,Turkey,2005,Asia
4bh1,A,H5N1,avian,Turkey,2005,Asia
2yp7,A,H3N2,,Malaysia,2005,Asia
4n5k,A,H7N9,,Shanghai,2013,Asia
4n5j,A,H7N9,,Shanghai,2013,Asia
4uo0,A,H3N8,equine,Richmond,2007,Oceania
4uo1,A,H3N8,equine,Richmond,2007,Oceania
2yp9,A,H3N2,,Malaysia,2005,Asia
2yp8,A,H3N2,,Malaysia,2005,Asia
4m5z,A,H1N1,,Nagasaki,2009,Asia
4uo5,A,H3N8,canine,Colorado,2006,* Not found *
4uo6,A,H3N8,canine,Colorado,2006,* Not found *
4uo7,A,H3N8,canine,Colorado,2006,* Not found *
4n5y,A,H5N1,,VietNam,2004,Asia
4lxv,A,H1N1,,Tottori,2011,Asia
4n5z,A,H5N1,,VietNam,2004,Asia
4kps,A,H13N6,avian,Maryland,1977,* Not found *
4kwm,A,H5N1,avian,Anhui,2007,Asia
1hgg,A,H3N2,,Aichi,1968,Asia
4fiu,A,H16N3,avian,Sweden,1999,Europe
4unz,A,H3N8,equine,Newmarket,,* Not found *
4k65,A,H5N1,,Indonesia,2005,Asia
4k64,A,H5N1,,Indonesia,2005,Asia
3ztj,A,H3N2,,HongKong,1968,Asia
4d00,A,H10N7,avian,,1949,
4k66,A,H5N1,,Indonesia,2005,Asia
3uyw,A,H1N1,,California,2009,* Not found *
3ubq,A,H1N1,,California,2009,* Not found *
3uyx,A,H1N1,,California,2009,* Not found *
3ube,A,H1N1,,California,2009,* Not found *
2ypg,A,H3N2,,Aichi,1968,Asia
3m5j,A,H7N2,avian,NewJersey,2004,* Not found *
3m5i,A,H7N2,avian,NewJersey,2004,* Not found *
3m5h,A,H7N2,avian,NewJersey,2004,* Not found *
3ubn,A,H1N1,,California,2009,* Not found *
4uoa,A,H3N8,canine,Colorado,2006,* Not found *
3ubj,A,H1N1,,California,2009,* Not found *
4kth,A,H5N1,,Hubei,2010,Asia
3gbm,A,H5N1,,VietNam,2004,Asia
3gbn,A,H1N1,,BrevigMission,1918,* Not found *
4gms,A,H3N2,,Victoria,1975,Oceania
3r2x,A,H1N1,,BrevigMission,1918,* Not found *
2hmg,A,H3N2,,Aichi,1968,Asia
4kdo,A,H5N1,,VietNam,2004,Asia
4kdn,A,H5N1,,VietNam,2004,Asia
4kdm,A,H5N1,,VietNam,2004,Asia
4unx,A,H3N8,equine,Newmarket,,* Not found *
3m6s,A,H1N1,,Darwin,2009,Oceania
4kdq,A,H5N1,,Xinjiang,2006,Asia
3al4,A,H1N1,,California,2009,* Not found *
1hgf,A,H3N2,reassortant X31,,,
1hgi,A,H3N2,reassortant X31,,,
1hgh,A,H3N2,reassortant X31,,,
1hgj,A,H3N2,reassortant X31,,,
1hgd,A,H3N2,reassortant X31,,,
1hge,A,H3N2,reassortant X31,,,
4kw1,A,H5N1,reassortant IDCDC_RG29,Egypt/Puerto_Rico,2010/1934,* Not found *
2ibx,A,H5N1,avian,Thailand,2004,Asia
4lkh,A,H7N9,human,Shanghai,2013,Asia
4kon,A,H7N9,human,Anhui, 2013,Asia
2yp5,A,H3N2,human,Finland,2004,Europe
2yp4,A,H3N2,human,Finland,2004,Europe
4lkk,A,H7N9,human,Anhui,2013,Asia
2yp2,A,H3N2,human,Finland,2004 ,Europe
2wr5,A,H2Nx,avian,Ontario,1957,North America
4lkj,A,H7N9,human,Anhui,2013,Asia
2yp3,A,H3N2,human,finland,2014,Europe
2wr0,A,H2Nx,human,Asia,1957,* Not found *
2wr4,A,H2Nx,avian,Ontario,1957,North America
4lki,A,H7N9,human,Anhui,2013,Asia
2wr1,A,H2Nx,human,Asia,1957,* Not found *
4lcx,A,H7N9,human,Shanghai,2013,Asia
4lkg,A,H7N9,human,Shanghai,2013,Asia
2wr2,A,H2Nx,human,Asia,1957,* Not found *
